ireland_abortion;;;;;;;
;title;date;member_gender;member_name;party_name;speech;speechID
1;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Dr. Noel C. Browne;Clann na Poblachta;I move: That leave be granted to introduce a Bill entitled an Act to amend the Constitution.;1936938
2;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Joseph Brennan;Fianna Fáil;Is the Bill opposed or agreed?;1936939
3;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Eugene (Gene) Fitzgerald;Fianna Fáil;I wish to oppose it.;1936940
4;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Joseph Brennan;Fianna Fáil;Since the Bill is opposed it now goes to Private Members' Time.;1936941
5;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Paddy Harte;Fine Gael;In view of the significant time that is in it would the Taoiseach be prepared to declare publicly that he will seriously consider enacting a new Constitution or asking the people of the Republic to enact a new Constitution? (Interruptions.);1936942
6;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Paddy Harte;Fine Gael;In advance of the Thatcher proposals for the North it is important that the Taoiseach consider this.;1936943
7;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Joseph Brennan;Fianna Fáil;We cannot discuss the matter now. Deputy Browne wishes to make a point.;1936944
8;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Dr. Noel C. Browne;Clann na Poblachta;Do I take it that this now gets priority and will be taken as soon as whatever private business——;1936945
9;Eighth Amendment of the Constitution Bill, 1980: Leave to Introduce.;28.05.80;M;Mr. Joseph Brennan;Fianna Fáil;The Deputy will deal with the Whips now on that. Question put and agreed to.;1936946
10;Private Members' Business. - Eighth Amendment of the Constitution Bill, 1980: First Stage (Resumed).;03.06.80;M;Mr. Séan Browne;Fianna Fáil;Deputy Noel Browne has moved that leave be given to introduce the Bill and this motion has been opposed by the Government. The Deputy has five minutes to support his motion.;1938728
